"study","sub_study","y"
"CDA1-A","CDA1-C-CF3",24.896
"CDA1-A","CDA1-C-CF3",159.984
"CDA1-A","CDA1-C-CF3",46.344
"CDA1-A","CDA1-C-CF3",350.98
"CDA1-A","CDA1-C-CF3",13.08
"CDA1-A","CDA1-C-CF3",900.08
"CDA1-A","CDA1-C-CF3",17.568
"CDA1-A","CDA1-D-CF4",14.62
"CDA1-A","CDA1-D-CF4",33.36
"CDA1-A","CDA1-D-CF4",40.14
"CDA1-A","CDA1-D-CF4",1606.23
"CDA1-A","CDA1-D-CF4",17.04
"CDA1-A","CDA1-D-CF4",49.53
"CDA1-A","CDA1-D-CF4",872.32
"CDA1-A","CDA1-D-CF4",239.12
"CDA1-A","CDA1-D-CF4",141.96
"CDA1-A","CDA1-D-CF4",33.024
"CDA1-A","CDA1-D-CF4",67.136
"CDA1-A","CDA1-D-CF4",14.73
"CDA1-A","CDA1-D-CF4",104.9
"CDA1-A","CDA1-D-CF4",61.04
"CDA1-A","CDA1-D-CF4",10.95
"CDA1-A","CDA1-D-CF4",9.392
"CDA1-A","CDA1-D-CF4",9.328
"CDA1-A","CDA1-D-CF4",8.26
"CDA1-A","CDA1-D-CF4",269.97
"CDA1-A","CDA1-D-CF4",29.04
"CDA1-A","CDA1-D-CF4",14.62
"CDA1-A","CDA1-D-CF4",11.952
"CDA1-A","CDA1-D-CF4",4.536
"CDA1-A","CDA1-D-CF4",9.156
"CDA1-A","CDA1-D-CF4",75.36
"CDA1-A","CDA1-D-CF4",57.504
"CDA1-A","CDA1-D-CF4",38.864
"CDA1-A","CDA1-D-CF4",15.552
"CDA1-A","CDA1-D-CF4",162.64
"CDA1-A","CDA1-D-CF4",597
"CDA1-A","CDA1-D-CF4",55.48
"CDA1-A","CDA1-D-CF4",289.8
"CDA1-A","CDA1-D-CF4",2.502
"CDA1-A","CDA1-D-CF4",6.48
"CDA1-A","CDA1-D-CF4",341.488
"CDA1-A","CDA1-D-CF4",11.12
"CDA1-A","CDA1-D-CF4",25.344
"CDA1-A","CDA1-D-CF4",17.31
"CDA1-A","CDA1-D-CF4",199.95
"CDA1-A","CDA1-D-CF4",1586.69
"CDA1-A","CDA1-D-CF4",84.99
"CDA1-A","CDA1-D-CF4",411.8
"CDA1-A","CDA1-D-CF4",11.34
"CDA1-A","CDA1-D-CF4",80.3
"CDA1-A","CDA1-D-CF4",15.968
"CDA1-A","CDA1-D-CF4",64.74
"CDA1-A","CDA1-D-CF4",19.296
"CDA1-A","CDA1-D-CF4",405.64
"CDA1-A","CDA1-D-CF4",146.352
"CDA1-A","CDA1-D-CF4",251.91
"CDA1-A","CDA1-D-CF4",12.39
"CDA1-A","CDA1-D-CF4",199.96
"CDA1-A","CDA1-D-CF4",710.832
"CDA1-A","CDA1-D-CF4",1.941
"CDA1-A","CDA1-D-CF4",283.92
"CDA1-A","CDA1-D-CF4",7.312
"CDA1-A","CDA1-D-CF4",59.97
"CDA1-A","CDA1-D-CF4",761.544
"CDA1-A","CDA1-D-CF4",58.2
"CDA1-A","CDA1-D-CF4",39.9
"CDA1-A","CDA1-D-CF4",90.86
"CDA1-A","CDA1-D-CF4",94.85
"CDA1-A","CDA1-D-CF4",106.232
"CDA1-A","CDA1-D-CF4",111.984
"CDA1-A","CDA1-D-CF4",7.712
"CDA1-A","CDA1-D-CF4",37.44
"CDA1-A","CDA1-D-CF4",23.68
"CDA1-A","CDA1-D-CF4",122.12
"CDA1-A","CDA1-D-CF4",18.45
"CDA1-A","CDA1-D-CF4",324.9
"CDA1-A","CDA1-D-CF4",146.73
"CDA1-A","CDA1-D-CF4",3.96
"CDA1-A","CDA1-D-CF4",5.76
"CDA1-A","CDA1-D-CF4",26.55
"CDA1-A","CDA1-D-CF4",310.443
"CDA1-A","CDA1-D-CF4",479.9
"CDA1-A","CDA1-D-CF4",12.88
"CDA1-A","CDA1-D-CF4",13.12
"CDA1-A","CDA1-D-CF4",511.84
"CDA1-A","CDA1-D-CF4",91.96
"CDA1-A","CDA1-D-CF4",8.34
"CDA1-A","CDA1-D-CF4",37.68
"CDA1-A","CDA1-D-CF4",279.944
"CDA1-A","CDA1-D-CF4",636.408
"CDA1-A","CDA1-D-CF4",83.168
"CDA1-A","CDA1-D-CF4",259.136
"CDA1-A","CDA1-D-CF4",221.92
"CDA1-A","CDA1-D-CF4",26
"CDA1-A","CDA1-D-CF4",15.552
"CDA1-A","CDA1-D-CF4",0.876
"CDA1-A","CDA1-D-CF4",19.98
"CDA1-A","CDA1-D-CF4",398.352
"CDA1-A","CDA1-D-CF4",5.04
"CDA1-A","CDA1-D-CF4",17.45
"CDA1-A","CDA1-D-CF4",323.136
"CDA1-A","CDA1-D-CF4",29.7
"CDA1-A","CDA1-D-CF4",1295.84
"CDA1-A","CDA1-D-CF4",46.84
"CDA1-A","CDA1-D-CF4",425.833
"CDA1-A","CDA1-D-CF4",209.67
"CDA1-A","CDA1-D-CF4",159.88
"CDA1-A","CDA1-D-CF4",5.28
"CDA1-A","CDA1-D-CF4",895.92
"CDA1-A","CDA1-D-CF4",2.808
"CDA1-B","CDA1-D-CF4",215.976
"CDA1-B","CDA1-D-CF4",241.96
"CDA1-B","CDA1-D-CF4",27.72
"CDA1-B","CDA1-D-CF4",104.68
"CDA1-B","CDA1-D-CF4",62.958
"CDA1-B","CDA1-D-CF4",86.376
"CDA1-B","CDA1-D-CF4",64.944
"CDA1-B","CDA1-D-CF4",20.736
"CDA1-B","CDA1-D-CF4",33.28
"CDA1-B","CDA1-D-CF4",38.52
"CDA1-B","CDA1-D-CF4",139.86
"CDA1-B","CDA1-D-CF4",19.65
"CDA1-B","CDA1-D-CF4",152.991
"CDA1-B","CDA1-D-CF4",10.584
"CDA1-B","CDA1-D-CF4",94.92
"CDA1-B","CDA1-D-CF4",14.76
"CDA1-B","CDA1-D-CF4",3.656
"CDA1-B","CDA1-D-CF4",146.82
"CDA1-B","CDA1-D-CF4",149.544
"CDA1-B","CDA1-D-CF4",17.14
"CDA1-B","CDA1-D-CF4",991.764
"CDA1-B","CDA1-D-CF4",30.48
"CDA1-B","CDA1-D-CF4",23.988
"CDA1-B","CDA1-D-CF4",16.688
"CDA1-B","CDA1-D-CF4",422.058
"CDA1-B","CDA1-D-CF4",38.088
"CDA1-B","CDA1-D-CF4",254.352
"CDA1-B","CDA1-D-CF4",43.31
"CDA1-B","CDA1-D-CF4",84.95
"CDA1-B","CDA1-D-CF4",233.058
"CDA1-B","CDA1-D-CF4",111.79
"CDA1-B","CDA1-D-CF4",14.94
"CDA1-B","CDA1-D-CF4",14.16
"CDA1-B","CDA1-D-CF4",22.608
"CDA1-B","CDA1-D-CF4",21.48
"CDA1-B","CDA1-D-CF4",501.81
"CDA1-B","CDA1-D-CF4",161.94
"CDA1-B","CDA1-D-CF4",17.856
"CDA1-B","CDA1-D-CF4",8.808
"CDA1-B","CDA1-D-CF4",79.384
"CDA1-B","CDA1-D-CF4",34.58
"CDA1-B","CDA1-D-CF4",314.55
"CDA1-B","CDA1-D-CF4",191.976
"CDA1-B","CDA1-D-CF4",8.288
"CDA1-B","CDA1-D-CF4",139.92
"CDA1-B","CDA1-D-CF4",15.872
"CDA1-B","CDA1-D-CF4",6.286
"CDA1-B","CDA1-D-CF4",14.016
"CDA1-B","CDA1-D-CF4",71.976
"CDA1-B","CDA1-D-CF4",107.982
"CDA1-B","CDA1-D-CF4",305.312
"CDA1-B","CDA1-D-CF4",19.752
"CDA1-B","CDA1-D-CF4",9.264
"CDA1-B","CDA1-D-CF4",61.792
"CDA1-B","CDA1-D-CF4",45.68
"CDA1-B","CDA1-D-CF4",60.12
"CDA1-B","CDA1-D-CF4",41.72
"CDA1-B","CDA1-D-CF4",71.6
"CDA1-B","CDA1-D-CF4",85.232
"CDA1-B","CDA1-D-CF4",44.4
"CDA1-B","CDA1-D-CF4",442.764
"CDA1-B","CDA1-D-CF4",3999.95
"CDA1-B","CDA1-D-CF4",199.95
"CDA1-B","CDA1-D-CF4",63.68
"CDA1-B","CDA1-D-CF4",54.896
"CDA1-B","CDA1-D-CF4",29
"CDA1-B","CDA1-D-CF4",70.08
"CDA1-B","CDA1-D-CF4",121.3
"CDA1-B","CDA1-D-CF4",1454.49
"CDA1-B","CDA1-D-CF4",60.81
"CDA1-B","CDA1-D-CF4",153.552
"CDA1-B","CDA1-D-CF4",65.34
"CDA1-B","CDA1-D-CF4",123.92
"CDA1-B","CDA1-D-CF4",35.1
"CDA1-B","CDA1-D-CF4",44.75
"CDA1-B","CDA1-D-CF4",4.704
"CDA1-B","CDA1-D-CF4",14.67
"CDA1-B","CDA1-D-CF4",15.552
"CDA1-B","CDA1-D-CF4",5.232
"CDA1-B","CDA1-D-CF4",22.2
"CDA1-B","CDA1-D-CF4",881.93
"CDA1-B","CDA1-D-CF4",6.096
"CDA1-B","CDA1-D-CF4",191.82
"CDA1-B","CDA1-D-CF4",20.104
"CDA1-B","CDA1-D-CF4",67.56
"CDA1-B","CDA1-D-CF4",29.932
"CDA1-B","CDA1-D-CF4",38.272
"CDA1-B","CDA1-D-CF4",16.52
"CDA1-B","CDA1-D-CF4",832.93
"CDA1-B","CDA1-D-CF4",43.8
"CDA1-B","CDA1-D-CF4",167.292
"CDA1-B","CDA1-D-CF4",27.42
"CDA1-B","CDA1-D-CF4",1.44
"CDA1-B","CDA1-D-CF4",61.776
"CDA1-B","CDA1-D-CF4",241.96
"CDA1-B","CDA1-D-CF4",108.608
"CDA1-B","CDA1-D-CF4",2.816
"CDA1-B","CDA1-D-CF4",9.984
"CDA1-B","CDA1-D-CF4",14.98
"CDA1-B","CDA1-D-CF4",1145.6
"CDA1-B","CDA1-D-CF4",485.94
"CDA1-B","CDA1-D-CF4",37.376
"CDA1-B","CDA1-D-CF4",70.686
"CDA1-B","CDA1-D-CF4",54.816
"CDA1-B","CDA1-D-CF4",72.294
"CDA1-B","CDA1-D-CF4",2.896
"CDA1-B","CDA1-D-CF4",124.792
"CDA1-B","CDA1-D-CF4",330.588
"CDA1-B","CDA1-D-CF4",673.568
"CDA1-B","CDA1-D-CF4",52.98
"CDA1-B","CDA1-D-CF4",526.45
"CDA1-B","CDA1-D-CF4",228.92
"CDA1-B","CDA1-D-CF4",319.968
"CDA1-B","CDA1-D-CF4",205.03
"CDA1-B","CDA1-D-CF4",190.86
"CDA1-B","CDA1-D-CF4",24.32
"CDA1-B","CDA1-D-CF4",44.4
"CDA1-B","CDA1-D-CF4",44.4
"CDA1-B","CDA1-D-CF4",1016.792
"CDA1-B","CDA1-D-CF4",38.136
"CDA1-B","CDA1-D-CF4",494.982
"CDA1-B","CDA1-D-CF4",56.56
"CDA1-B","CDA1-D-CF4",5.56
"CDA1-B","CDA1-D-CF4",9.02
"CDA1-B","CDA1-D-CF4",8.62
"CDA1-B","CDA1-D-CF4",659.976
"CDA1-B","CDA1-D-CF4",13.36
"CDA1-B","CDA1-D-CF4",41.72
"CDA1-B","CDA1-D-CF4",11.52
"CDA1-B","CDA1-D-CF4",541.44
"CDA1-B","CDA1-D-CF4",19.44
"CDA1-B","CDA1-D-CF4",143.7
"CDA1-B","CDA1-D-CF4",43.26
"CDA1-B","CDA1-D-CF4",43.56
"CDA1-B","CDA1-D-CF4",437.85
"CDA1-B","CDA1-D-CF4",109.48
"CDA1-B","CDA1-D-CF4",1212.96
"CDA1-B","CDA1-D-CF4",18.54
"CDA1-B","CDA1-D-CF4",5
"CDA1-B","CDA1-D-CF4",371.97
"CDA1-B","CDA1-D-CF4",166.24
"CDA1-B","CDA1-D-CF4",359.97
"CDA1-B","CDA1-D-CF4",499.98
"CDA1-B","CDA1-D-CF4",5.28
"CDA1-B","CDA1-D-CF4",8.26
"CDA1-B","CDA1-D-CF4",7.968
"CDA1-B","CDA1-D-CF4",12.96
"CDA1-B","CDA1-D-CF4",6.48
"CDA1-B","CDA1-D-CF4",6.984
"CDA1-B","CDA1-D-CF4",47.96
"CDA1-B","CDA1-D-CF4",199.74
"CDA1-B","CDA1-D-CF4",435.26
"CDA1-B","CDA1-D-CF4",1119.984
"CDA1-B","CDA1-D-CF4",143.432
"CDA1-B","CDA1-D-CF4",122.352
"CDA1-B","CDA1-D-CF4",306.2
"CDA1-B","CDA1-D-CF4",85.98
"CDA1-B","CDA1-D-CF4",223.96
"CDA1-B","CDA1-D-CF4",97.568
"CDA1-B","CDA1-D-CF4",614.272
"CDA1-B","CDA1-D-CF4",199.98
"CDA1-B","CDA1-D-CF4",48.16
"CDA1-B","CDA1-D-CF4",23.92
"CDA1-B","CDA1-D-CF4",60.69
"CDA1-B","CDA1-D-CF4",14.352
"CDA1-B","CDA1-D-CF4",35.04
"CDA1-B","CDA1-D-CF4",17.48
"CDA1-B","CDA1-D-CF4",16.4
"CDA1-B","CDA1-D-CF4",892.98
"CDA1-B","CDA1-D-CF4",287.97
"CDA1-B","CDA1-D-CF4",595.38
"CDA1-B","CDA1-D-CF4",12.96
"CDA1-B","CDA1-D-CF4",4.95
"CDA1-B","CDA1-D-CF4",181.95
"CDA1-B","CDA1-D-CF4",13.52
"CDA1-B","CDA1-D-CF4",259.7
"CDA1-B","CDA1-D-CF4",42.95
"CDA1-B","CDA1-D-CF4",1399.93
"CDA1-B","CDA1-D-CF4",503.96
"CDA1-B","CDA1-D-CF4",12.72
"CDA1-B","CDA1-D-CF4",11.52
"CDA1-B","CDA1-D-CF4",316
"CDA1-B","CDA1-D-CF4",723.92
"CDA1-B","CDA1-D-CF4",106.32
"CDA1-B","CDA1-D-CF4",141.372
"CDA1-B","CDA1-D-CF4",27.216
"CDA1-B","CDA1-D-CF4",390.75
"CDA1-B","CDA1-D-CF4",280.792
"CDA1-B","CDA1-D-CF4",68.448
"CDA1-B","CDA1-D-CF4",88.04
"CDA1-B","CDA1-D-CF4",15.872
"CDA1-B","CDA1-D-CF4",215.592
"CDA1-B","CDA1-D-CF4",14.62
"CDA1-B","CDA1-D-CF4",416.32
"CDA1-B","CDA1-D-CF4",43
"CDA1-B","CDA1-D-CF4",182.94
"CDA1-B","CDA1-D-CF4",60.83
"CDA1-B","CDA1-D-CF4",389.97
"CDA1-B","CDA1-D-CF4",194.32
"CDA1-B","CDA1-D-CF4",265.93
"CDA1-B","CDA1-D-CF4",94.74
"CDA1-B","CDA1-D-CF4",60.64
"CDA1-B","CDA1-D-CF4",76.3
"CDA1-B","CDA1-D-CF4",364.8
"CDA1-B","CDA1-D-CF4",79.872
"CDA1-B","CDA1-D-CF4",46.384
"CDA1-B","CDA1-D-CF4",12.96
"CDA1-B","CDA1-D-CF4",14.352
"CDA1-B","CDA1-D-CF4",547.136
"CDA1-B","CDA1-D-CF4",41.96
"CDA1-B","CDA1-D-CF4",41.7
"CDA1-B","CDA1-D-CF4",277.4
"CDA1-B","CDA1-D-CF4",5.78
"CDA1-B","CDA1-D-CF4",69.216
"CDA1-B","CDA1-D-CF4",10.86
"CDA1-B","CDA1-D-CF4",426.79
"CDA1-B","CDA1-D-CF4",25.92
"CDA1-B","CDA1-D-CF4",45.92
"CDA1-B","CDA1-D-CF4",10.72
"CDA1-B","CDA1-D-CF4",41.86
"CDA1-B","CDA1-D-CF4",63.2
"CDA1-B","CDA1-D-CF4",113.97
"CDA1-B","CDA1-D-CF4",123.552
"CDA1-B","CDA1-D-CF4",490.32
"CDA1-B","CDA1-D-CF4",70.08
"CDA1-B","CDA1-D-CF4",1.272
"CDA1-B","CDA1-D-CF4",557.585
"CDA1-B","CDA1-D-CF4",9.024
"CDA1-B","CDA1-D-CF4",69.456
"CDA1-B","CDA1-D-CF4",10.86
"CDA1-B","CDA1-D-CF4",79.47
"CDA1-B","CDA1-D-CF4",10.08
"CDA1-B","CDA1-D-CF4",1552.831
"CDA1-B","CDA1-D-CF4",137.24
"CDA1-B","CDA1-D-CF4",36.51
"CDA1-B","CDA1-D-CF4",239.976
"CDA1-B","CDA1-D-CF4",1579.746
"CDA1-B","CDA1-D-CF4",1071.576
"CDA1-B","CDA1-D-CF4",613.908
"CDA1-B","CDA1-D-CF4",34.86
"CDA1-B","CDA1-D-CF4",155.04
"CDA1-B","CDA1-D-CF4",13.71
"CDA1-B","CDA1-D-CF4",127.88
"CDA1-B","CDA1-D-CF4",160.32
"CDA1-B","CDA1-D-CF4",46
"CDA1-B","CDA1-D-CF4",120.712
"CDA1-B","CDA1-D-CF4",23.12
"CDA1-B","CDA1-D-CF4",532.704
"CDA1-B","CDA1-D-CF4",4.912
"CDA1-B","CDA1-D-CF4",252
"CDA1-B","CDA1-D-CF4",60.288
"CDA1-B","CDA1-D-CF4",2.632
"CDA1-B","CDA1-D-CF4",23.688
"CDA1-B","CDA1-D-CF4",253.372
"CDA1-B","CDA1-D-CF4",5.67
"CDA1-B","CDA1-D-CF4",76.776
"CDA1-B","CDA1-D-CF4",9.184
"CDA1-B","CDA1-D-CF4",32.75
"CDA1-B","CDA1-D-CF4",7.216
"CDA1-B","CDA1-D-CF4",49.568
"CDA1-B","CDA1-D-CF4",54.712
"CDA1-B","CDA1-D-CF4",176.04
"CDA1-B","CDA1-D-CF4",16.02
"CDA1-B","CDA1-D-CF4",185.92
"CDA1-B","CDA1-D-CF4",211.168
"CDA1-B","CDA1-D-CF4",479.984
"CDA1-B","CDA1-D-CF4",7.86
"CDA1-B","CDA1-D-CF4",24.448
"CDA1-B","CDA1-D-CF4",6.48
"CDA1-B","CDA1-D-CF4",41.86
"CDA1-B","CDA1-D-CF4",1619.91
"CDA1-B","CDA1-D-CF4",113.92
"CDA1-B","CDA1-D-CF4",39.68
"CDA1-B","CDA1-D-CF4",37.6
"CDA1-B","CDA1-D-CF4",59.9
"CDA1-B","CDA1-D-CF4",37
"CDA1-B","CDA1-D-CF4",5.76
"CDA1-B","CDA1-D-CF4",16.68
"CDA1-B","CDA1-D-CF4",628.81
"CDA1-B","CDA1-D-CF4",56.45
"CDA1-B","CDA1-D-CF4",94.2
"CDA1-B","CDA1-D-CF4",28.4
"CDA1-B","CDA1-D-CF4",956.6648
"CDA1-B","CDA1-D-CF4",1115.91
"CDA1-B","CDA1-D-CF4",128.744
"CDA1-B","CDA1-D-CF4",79.92
"CDA1-B","CDA1-D-CF4",24.2
"CDA1-B","CDA1-D-CF4",359.976
"CDA1-B","CDA1-D-CF4",211.84
"CDA1-B","CDA1-D-CF4",5.68
"CDA1-B","CDA1-D-CF4",7.52
"CDA1-B","CDA1-D-CF4",11.96
"CDA1-B","CDA1-D-CF4",629.064
"CDA1-B","CDA1-D-CF4",754.45
"CDA1-B","CDA1-D-CF4",301.96
"CDA1-B","CDA1-D-CF4",595
"CDA1-B","CDA1-D-CF4",79.872
"CDA1-B","CDA1-D-CF4",2396.4
"CDA1-B","CDA1-D-CF4",63.56
"CDA1-B","CDA1-D-CF4",99.99
"CDA1-B","CDA1-D-CF4",230.376
"CDA1-B","CDA1-D-CF4",9.664
"CDA1-B","CDA1-D-CF4",158.928
"CDA1-B","CDA1-D-CF4",13.023
"CDA1-B","CDA1-D-CF4",273.06
"CDA1-B","CDA1-D-CF4",39.312
"CDA1-B","CDA1-D-CF4",1.344
"CDA1-B","CDA1-D-CF4",8.272
"CDA1-B","CDA1-D-CF4",12.544
"CDA1-B","CDA1-D-CF4",58.48
"CDA1-B","CDA1-D-CF4",7.4
"CDA1-B","CDA1-D-CF4",366.786
"CDA1-B","CDA1-D-CF4",54.368
"CDA1-B","CDA1-D-CF4",33.96
"CDA1-B","CDA1-D-CF4",826.11
"CDA1-B","CDA1-D-CF4",545.85
"CDA1-B","CDA1-D-CF4",145.98
"CDA1-B","CDA1-D-CF4",35.808
"CDA1-B","CDA1-D-CF4",7.904
"CDA1-B","CDA1-D-CF4",345
"CDA1-B","CDA1-D-CF4",174.286
"CDA1-B","CDA1-D-CF4",662.84
"CDA1-B","CDA1-D-CF4",95.1
"CDA1-B","CDA1-D-CF4",26.88
"CDA1-B","CDA1-D-CF4",257.98
"CDA1-B","CDA1-D-CF4",17.48
"CDA1-B","CDA1-D-CF4",492.835
"CDA1-B","CDA1-D-CF4",269.49
"CDA1-B","CDA1-D-CF4",29.12
"CDA1-B","CDA1-D-CF4",18.75
"CDA1-B","CDA1-D-CF4",119.7
"CDA1-B","CDA1-D-CF4",9.144
"CDA1-B","CDA1-D-CF4",57.06
"CDA1-B","CDA1-D-CF4",71.6
"CDA1-B","CDA1-D-CF4",107.44
"CDA1-B","CDA1-D-CF4",7.31
"CDA1-B","CDA1-D-CF4",59.1
"CDA1-B","CDA1-D-CF4",46.53
"CDA1-B","CDA1-D-CF4",97.84
"CDA1-B","CDA1-D-CF4",29.97
"CDA1-B","CDA1-D-CF4",98.352
"CDA1-B","CDA1-D-CF4",83.92
"CDA1-B","CDA1-D-CF4",14.624
"CDA1-B","CDA1-D-CF4",136.99
"CDA1-B","CDA1-D-CF4",3.15
"CDA1-B","CDA1-D-CF4",9.11
"CDA1-B","CDA1-D-CF4",571.44
"CDA1-B","CDA1-D-CF4",32.4
"CDA1-B","CDA1-D-CF4",16.91
"CDA1-B","CDA1-D-CF4",14.272
"CDA1-B","CDA1-D-CF4",451.136
"CDA1-B","CDA1-D-CF4",64.864
"CDA1-B","CDA1-D-CF4",217.584
"CDA1-B","CDA1-D-CF4",82.95
"CDA1-B","CDA1-D-CF4",87.71
"CDA1-B","CDA1-D-CF4",1101.48
"CDA1-B","CDA1-D-CF4",1322.352
"CDA1-B","CDA1-D-CF4",5.46
"CDA1-B","CDA1-D-CF4",11.184
"CDA1-B","CDA1-D-CF4",153.584
"CDA1-B","CDA1-D-CF4",1003.62
"CDA1-B","CDA1-D-CF4",35.168
"CDA1-B","CDA1-D-CF4",1137.75
"CDA1-B","CDA1-D-CF4",99.68
"CDA1-B","CDA1-D-CF4",5.56
"CDA1-B","CDA1-D-CF4",85.52
"CDA1-B","CDA1-D-CF4",9.84
"CDA1-B","CDA1-D-CF4",20.04
"CDA1-B","CDA1-D-CF4",631.96
"CDA1-B","CDA1-D-CF4",23.92
"CDA1-B","CDA1-D-CF4",90.24
"CDA1-B","CDA1-D-CF4",4548.81
"CDA1-B","CDA1-D-CF4",300.93
"CDA1-B","CDA1-D-CF4",719.96
"CDA1-B","CDA1-D-CF4",647.84
"CDA1-B","CDA1-D-CF4",64.17
"CDA1-B","CDA1-D-CF4",124.46
"CDA1-B","CDA1-D-CF4",9.584
"CDA1-B","CDA1-D-CF4",37.608
"CDA1-B","CDA1-D-CF4",12.224
"CDA1-B","CDA1-D-CF4",2.304
"CDA1-B","CDA1-D-CF4",9.36
"CDA1-B","CDA1-D-CF4",7.38
"CDA1-B","CDA1-D-CF4",53.72
"CDA1-B","CDA1-D-CF4",8187.65
"CDA1-B","CDA1-D-CF4",77.92
"CDA1-B","CDA1-D-CF4",32.784
"CDA1-B","CDA1-D-CF4",196.776
"CDA1-B","CDA1-D-CF4",479.94
"CDA1-B","CDA1-D-CF4",1117.92
"CDA1-B","CDA1-D-CF4",106.5
"CDA1-B","CDA1-D-CF4",45.66
"CDA1-B","CDA1-D-CF4",95.968
"CDA1-B","CDA1-D-CF4",47.992
"CDA1-B","CDA1-D-CF4",264.32
"CDA1-B","CDA1-D-CF4",604.656
"CDA1-B","CDA1-D-CF4",129.93
"CDA1-B","CDA1-D-CF4",20.16
"CDA1-B","CDA1-D-CF4",29.46
"CDA1-B","CDA1-D-CF4",868.59
"CDA1-B","CDA1-D-CF4",12.96
"CDA1-B","CDA1-D-CF4",5.5
"CDA1-B","CDA1-D-CF4",121.6
"CDA1-B","CDA1-D-CF4",42.048
"CDA1-B","CDA1-D-CF4",25.488
"CDA1-B","CDA1-D-CF4",6.9
"CDA1-B","CDA1-D-CF4",9.648
"CDA1-B","CDA1-D-CF4",7.968
"CDA1-B","CDA1-D-CF4",10.368
"CDA1-B","CDA1-D-CF4",114.2
"CDA1-B","CDA1-D-CF4",17.96
"CDA1-B","CDA1-D-CF4",12.67
"CDA1-B","CDA1-D-CF4",339.96
"CDA1-B","CDA1-D-CF4",1801.632
"CDA1-B","CDA1-D-CF4",46.32
"CDA1-B","CDA1-D-CF4",181.986
"CDA1-B","CDA1-D-CF4",431.976
"CDA1-B","CDA1-D-CF4",155.37
"CDA1-B","CDA1-D-CF4",1348.704
"CDA1-B","CDA1-D-CF4",700.152
"CDA1-B","CDA1-D-CF4",111.888
"CDA1-B","CDA1-D-CF4",143.952
"CDA1-B","CDA1-D-CF4",173.94
"CDA1-B","CDA1-D-CF4",14.76
"CDA1-B","CDA1-D-CF4",205.92
"CDA1-B","CDA1-D-CF4",102.833
"CDA1-B","CDA1-D-CF4",2.304
"CDA1-B","CDA1-D-CF4",1879.96
"CDA1-B","CDA1-D-CF4",313.024
"CDA1-B","CDA1-D-CF4",5.04
"CDA1-B","CDA1-D-CF4",821.88
"CDA1-B","CDA1-D-CF4",21.96
"CDA1-B","CDA1-D-CF4",25.92
"CDA1-B","CDA1-D-CF4",705.544
"CDA1-B","CDA1-D-CF4",50
"CDA1-B","CDA1-D-CF4",51.712
"CDA1-B","CDA1-D-CF4",6.992
"CDA1-B","CDA1-D-CF4",1406.86
"CDA1-B","CDA1-D-CF4",15.75
"CDA1-B","CDA1-D-CF4",323.1
"CDA1-B","CDA1-D-CF4",9.216
"CDA1-B","CDA1-D-CF4",10.368
"CDA1-B","CDA1-D-CF4",15.02
"CDA1-B","CDA1-D-CF4",33.82
"CDA1-B","CDA1-D-CF4",71
"CDA1-B","CDA1-D-CF4",25.12
"CDA1-B","CDA1-D-CF4",2665.62
"CDA1-B","CDA1-D-CF4",478.08
"CDA1-B","CDA1-D-CF4",164.388
"CDA1-B","CDA1-D-CF4",13.248
"CDA1-B","CDA1-D-CF4",2.912
"CDA1-B","CDA1-D-CF4",1399.944
"CDA1-B","CDA1-D-CF4",526.45
"CDA1-B","CDA1-D-CF4",16.23
"CDA1-B","CDA1-D-CF4",319.9
"CDA1-B","CDA1-D-CF4",11.36
"CDA1-B","CDA1-D-CF4",675.12
"CDA1-B","CDA1-D-CF4",62.82
"CDA1-B","CDA1-D-CF4",489.92
"CDA1-B","CDA1-D-CF4",19.44
"CDA1-B","CDA1-D-CF4",16.68
"CDA1-B","CDA1-D-CF4",155.35
"CDA1-B","CDA1-D-CF4",12.42
"CDA1-B","CDA1-D-CF4",187.98
"CDA1-B","CDA1-D-CF4",6.608
"CDA1-B","CDA1-D-CF4",248.57
"CDA1-B","CDA1-D-CF4",22.23
"CDA1-B","CDA1-D-CF4",5.98
"CDA1-B","CDA1-D-CF4",246.168
"CDA1-B","CDA1-D-CF4",14.136
"CDA1-B","CDA1-D-CF4",601.47
"CDA1-B","CDA1-D-CF4",79.1
"CDA1-B","CDA1-D-CF4",327.84
"CDA1-B","CDA1-D-CF4",180.96
"CDA1-B","CDA1-D-CF4",914.97
"CDA1-B","CDA1-D-CF4",587.97
"CDA1-B","CDA1-D-CF4",530.34
"CDA1-B","CDA1-D-CF4",14.94
"CDA1-B","CDA1-D-CF4",121.94
"CDA1-B","CDA1-D-CF4",122.71
"CDA1-B","CDA1-D-CF4",14.94
"CDA1-B","CDA1-D-CF4",1349.85
"CDA1-B","CDA1-D-CF4",136.784
"CDA1-B","CDA1-D-CF4",61.12
"CDA1-B","CDA1-D-CF4",1.167
"CDA1-B","CDA1-D-CF4",16.99
"CDA1-B","CDA1-D-CF4",24.672
"CDA1-B","CDA1-D-CF4",2.52
"CDA1-B","CDA1-D-CF4",1218.735
"CDA1-B","CDA1-D-CF4",5.904
"CDA1-B","CDA1-D-CF4",15.696
"CDA1-B","CDA1-D-CF4",6.096
"CDA1-B","CDA1-D-CF4",41.568
"CDA1-B","CDA1-D-CF4",230.28
"CDA1-B","CDA1-D-CF4",18.288
"CDA1-B","CDA1-D-CF4",5.78
